H/S,Pro.Lang,otu.num,Seq.info
S,0,1,A01_M00969_273_000000000-AY5TW_1_1101_17602_3601;size=234;|T|ITS2
H,0,1,A02_M00969_273_000000000-AY5TW_1_1101_9352_5615;size=305;|T|ITS2
H,0,1,A02_M00969_273_000000000-AY5TW_1_1104_15652_20107;size=10;|T|ITS2
H,0,1,A03_M00969_273_000000000-AY5TW_1_1101_18129_10914;size=134;|T|ITS2
H,0,1,A04_M00969_273_000000000-AY5TW_1_1101_9786_5516;size=326;|T|ITS2
H,0,1,A04_M00969_273_000000000-AY5TW_1_1103_20001_24636;size=17;|T|ITS2
H,0,1,A05_M00969_273_000000000-AY5TW_1_1101_20574_7465;size=109;|T|ITS2
H,0,1,A06_M00969_273_000000000-AY5TW_1_1101_14401_12717;size=129;|T|ITS2
H,0,1,A07_M00969_273_000000000-AY5TW_1_1101_20388_2744;size=84;|T|ITS2
H,0,1,A08_M00969_273_000000000-AY5TW_1_1101_20412_11847;size=94;|T|ITS2
H,0,1,A09_M00969_273_000000000-AY5TW_1_1101_11207_7525;size=179;|T|ITS2
H,0,1,A09_M00969_273_000000000-AY5TW_1_1103_14827_19035;size=11;|T|ITS2
H,0,1,A09_M00969_273_000000000-AY5TW_1_1101_21946_6978;size=10;|T|ITS2
H,0,1,A10_M00969_273_000000000-AY5TW_1_1101_25126_12479;size=121;|T|ITS2
H,0,1,A11_M00969_273_000000000-AY5TW_1_1101_7077_5515;size=52;|T|ITS2
H,0,1,A12_M00969_273_000000000-AY5TW_1_1101_20653_10962;size=172;|T|ITS2
H,0,1,A13_M00969_273_000000000-AY5TW_1_1101_8888_3497;size=2029;|T|ITS2
H,0,1,A13_M00969_273_000000000-AY5TW_1_1102_11786_22793;size=12;|T|ITS2
H,0,1,A13_M00969_273_000000000-AY5TW_1_1101_10616_16841;size=11;|T|ITS2
H,0,1,A14_M00969_273_000000000-AY5TW_1_1101_23846_12664;size=48;|T|ITS2
H,0,1,A15_M00969_273_000000000-AY5TW_1_1101_16757_3315;size=189;|T|ITS2
H,0,1,A16_M00969_273_000000000-AY5TW_1_1101_24078_17296;size=44;|T|ITS2
H,0,1,A17_M00969_273_000000000-AY5TW_1_1101_15573_19156;size=82;|T|ITS2
H,0,1,A18_M00969_273_000000000-AY5TW_1_1101_15413_2543;size=1176;|T|ITS2
H,0,1,A19_M00969_273_000000000-AY5TW_1_1101_12617_9328;size=86;|T|ITS2
H,0,1,A20_M00969_273_000000000-AY5TW_1_1101_11512_13760;size=273;|T|ITS2
H,0,1,A22_M00969_273_000000000-AY5TW_1_1101_10740_10595;size=228;|T|ITS2
H,0,1,A22_M00969_273_000000000-AY5TW_1_1104_13371_6569;size=11;|T|ITS2
H,0,1,A23_M00969_273_000000000-AY5TW_1_1101_21867_12855;size=73;|T|ITS2
H,0,1,A24_M00969_273_000000000-AY5TW_1_1101_7089_8549;size=36;|T|ITS2
H,0,1,A25_M00969_273_000000000-AY5TW_1_1101_5861_7462;size=70;|T|ITS2
H,0,1,A26_M00969_273_000000000-AY5TW_1_1101_16262_22774;size=21;|T|ITS2
H,0,1,A27_M00969_273_000000000-AY5TW_1_1101_5165_17224;size=47;|T|ITS2
H,0,1,A28_M00969_273_000000000-AY5TW_1_1101_17027_3941;size=177;|T|ITS2
H,0,1,A28_M00969_273_000000000-AY5TW_1_1103_6732_19656;size=17;|T|ITS2
